FMID,MarketName,street,city,County,State,zip,Credit,WIC,WICcash,SFMNP,SNAP,Organic,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine,Coffee,Beans,Fruits,Grains,Juices,Mushrooms,PetFood,Tofu,WildHarvested,updateTime
1019157,16th Ave Farmers Market,NE 16th Ave & Broadway,Portland,Multnomah,Oregon,97212,Y,Y,Y,Y,N,-,Y,N,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,Y,N,Y,Y,Y,N,Y,N,Y,N,N,N,N,N,Y,07/05/2018 17:00
1018792,170 Farm Stand,NE Corner of 170th St. & Townsend Avenue,Bronx,Bronx,New York,10452,Y,N,Y,Y,Y,-,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,Y,N,N,N,08/07/2017 16:11
1016782,175th Street Greenmarket,175th Street between Wadsworth & Broadway,New York ,New York,New York,10033,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,12/16/2016 12:06
1003877,17th Ave Market,1622 6th St NE,Minneapolis,Hennepin,Minnesota,55413,N,Y,Y,Y,N,-,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,4/28/2011 14:33
1016784,17th Street Farmers Market,100 North 17th St.,Richmond ,Richmond City,Virginia,23219,Y,N,N,N,Y,-,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,N,Y,N,N,Y,N,Y,N,N,Y,N,N,N,12/29/2016 12:13
1010968,18th and Christian Farmers' Market,18th Street and Christian Street,Philadelphia,Philadelphia,Pennsylvania,19146,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,3/24/2015 15:33
1009994,18th Street Farmer's Market,18th and Broadway,Scottsbluff,Scotts Bluff,Nebraska,69361,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,N,N,Y,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N,6/29/2016 16:32
1018365,18th Street Farmers Market,825 18th Street,Charleston ,Coles,Illinois,61920,Y,Y,N,Y,Y,-,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,6/23/2017 8:02
1012790,19/27 Community Farmers Market,NE 7th Ave,Chiefland,Levy,Florida,32626,Y,N,N,N,N,-,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,N,N,8/19/2016 16:07
1012158,21 Acres Farm Market,13701 NE 171st Street,Woodinville,King,Washington,98072,Y,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,N,Y,N,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,6/30/2016 19:50
1010873,21st Street Farmers Market,SW 21st and Oakley,Topeka,Shawnee,Kansas,66604,Y,N,N,Y,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,N,Y,Y,N,N,N,N,Y,Y,N,N,N,N,N,03/02/2015 10:46
1005309,22nd and Tasker Farmers' Market,22nd and Tasker Streets,Philadelphia,Philadelphia,Pennsylvania,19146,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,3/24/2015 14:29
1000709,22nd Annual Highlands Business Partnership Farmers Market,71 Waterwitch Avenue,Highlands,Monmouth,New Jersey,7732,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,Y,07/06/2016 14:37
1011881,25th Street Market - North Logan at the Library Summer 2016,475 East 2500 North,North Logan,Cache,Utah,84341,Y,N,N,N,N,-,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,Y,Y,N,Y,N,N,N,4/18/2016 10:33
1010966,26th and Allegheny,26th Street and W Allegheny Avenue,Philadelphia,Philadelphia,Pennsylvania,19129,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,3/24/2015 15:17
1005299,29th and Wharton Farmers' Market,29th and Wharton Streets,Philadelphia,Philadelphia,Pennsylvania,19146,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,3/24/2015 14:47
1010994,2nd Street Farmers' Market,194 second street,Amherst,Amherst,Virginia,24521,Y,N,N,N,N,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,Y,N,Y,03/04/2016 13:51
1009959,2nd Street Market - Five Rivers MetroPark,600 E. 2nd Street,Dayton,Montgomery,Ohio,45402,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,7/26/2018 16:26
1004950,3 French Hens French Country Market,123 W. Illinois ave. ,Morris,Grundy,Illinois,60450,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,Y,N,N,7/26/2018 16:22
1010775,30A Farmers' Market,Rosmary Beach Town Center,Rosemary Beach,Walton,Florida,32461,Y,N,N,N,N,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,1/16/2015 18:38
1018656,31 & Main Farmers Market at Campus Town,1928 Pennington Road,Ewing,Mercer,New Jersey,8618,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,07/12/2017 13:42
1005636,32nd Street/Waverly Farmers Market,E. 32nd & Barclay Street,Baltimore,Baltimore,Maryland,21218,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,7/26/2018 16:47
1005310,33rd and Diamond Farmers' Market,N 33rd and Diamond Streets,Philadelphia,Philadelphia,Pennsylvania,19121,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,3/24/2015 14:28
1018389,38th & Meridian Farmer's Market ,3808 N Meridian St,Indianapolis,Marion,Indiana,46208,Y,N,Y,N,Y,-,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,Y,N,Y,N,Y,N,Y,N,N,6/26/2017 8:19
1012280,39 North Marketplace,Downtown Sparks Victorian Ave,Sparks,Washoe,Nevada,89431,Y,Y,Y,Y,N,-,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,N,N,N,Y,Y,N,Y,N,Y,N,Y,07/06/2016 17:19
1011213,441 Ministries Farm Stand,441 Parsells Avenue,Rochester,Monroe,New York,14609,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,06/08/2015 09:22
1010965,4th and Lehigh Farmers' Market,N 4th Street and W. Lehigh Avenue,Philadelphia,Philadelphia,Pennsylvania,19133,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,3/24/2015 15:11
1006234,4th Street Farmers Market,315 East 4th St.,Loveland,Larimer,Colorado,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011
1006494,52 & Shadeland Avenue Farmers Market,5200 N. Shadeland Avenue,Indianapolis,Marion,Indiana,46226,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
1005304,52nd and Haverford Farmers' Market,N 52nd Street and Haverford Avenue,Philadelphia,Philadelphia,Pennsylvania,19139,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,3/24/2015 14:38
1000060,57th Street Greenmarket,W 57 St. & 9 Ave,New York,New York,New York,10019,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,7/24/2013 11:06
1005306,58th and Chester Farmers' Market,58th Street and Chester Avenue,Philadelphia,Philadelphia,Pennsylvania,19143,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,3/24/2015 14:35
1018965,61st Street Farmers Market,6100 S. Blackstone Ave,Chicago,Cook,Illinois,60637,Y,N,N,N,Y,-,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,Y,N,N,Y,N,Y,N,Y,Y,N,N,N,2/23/2018 16:18
1000061,79th Street Greenmarket,Columbus - W 78 & 81 Sts.,New York,New York,New York,10024,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,7/24/2013 10:54
1000062,82nd Street Greenmarket,E 82nd St. - 1st & York Ave,New York,New York,New York,10028,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,7/24/2013 10:50
1008391,84 west farmers market (Dothan),,Dothan,Houston,Alabama,,Y,N,N,Y,N,N,Y,N,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,3/15/2014 9:29
1001961,8th Avenue City Farmers Market,8th Ave & 2nd St SE,Cedar Rapids,Linn,Iowa,52401,Y,Y,N,Y,N,-,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,4/25/2012 13:17
1000063,92nd Street Greenmarket,1st Ave - E 92nd & 93 Sts.,New York,New York,New York,10128,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,7/24/2013 10:43
1000064,97th Street Greenmarket,W 97 St. & Columbus,New York,New York,New York,10025,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,Y,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,7/24/2013 10:39
1011989,9th and Grand Farmers Market,304 West Grand Avenue,Salina,Saline,Kansas,67401,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,5/28/2016 15:39
1000986,9th West Farmers Market/People's Market ,1060 South 900 West,SALT LAKE CITY,Salt Lake,Utah,84110,Y,N,N,N,Y,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,N,Y,Y,N,N,Y,N,Y,N,Y,N,Y,N,Y,6/28/2016 1:05
1010617,A + Organic Farmers Market,Lee Rd. Farm,Boynton Beach ,Palm Beach,Florida,33473,Y,N,N,N,N,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,N,N,N,Y,N,Y,Y,N,Y,N,N,Y,9/29/2014 13:37
1009004,A Growers' Market,229 Lake Ella Drive,Tallahassee ,Leon,Florida,32303,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,N,Y,N,N,N,7/29/2018 12:47
1007585,AAMC Farmers's Market,"2001 Medical Parkway, Sajak Pavilion",Annapolis,Anne Arundel,Maryland,21401,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/23/2011 23:54
1004573,Abbeville Farmers Market,118 Trinity Street at Livery Stable,Abbeville,Abbeville,South Carolina,29620,Y,N,N,Y,N,N,Y,N,Y,N,Y,N,Y,Y,Y,N,N,Y,N,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,07/11/2013 13:41
1009028,ABBEVILLE FARMERS MARKET,Kirkland Street,Abbeville ,Henry,Alabama,,Y,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/05/2014 19:27
1004598,Abbotsford Farmers Market,1011 East Spruce St.,Abbotsford,Clark,Wisconsin,54405,N,Y,N,Y,N,-,Y,N,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,05/07/2012 10:47
1003865,Abbott Northwestern Farmers Market,800 E 28th St,Minneapolis,Hennepin,Minnesota,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,May 26 2010 11:24PM
1002947,Aberdeen Farmers Market,"2nd Ave., S.E. & S. Lincoln Street",Aberdeen,Brown,South Dakota,57401,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
1019473,Aberdeen Sunday Market,Broadway between Heron & State St,Aberdeen,Grays Harbor,Washington,98520,Y,Y,N,Y,Y,-,Y,N,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,N,Y,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,N,4/14/2019 20:55
1004031,Abilene Farmers Market,East 1st & Buckeye St.,Abilene,Dickinson,Kansas,67410,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
1010487,Abingdon Farmers Market,Corner of Remsburg Drive & Cummings St,Abingdon ,Washington,Virginia,24210,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,03/02/2016 10:20
1000065,Abingdon Square Greenmarket,W12 St. & 8th Ave,New York,New York,New York,10014,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,7/24/2013 10:36
1006988,Abington,362 Plymouth Street,Abington,Plymouth,Massachusetts,2351,N,N,N,N,N,N,Y,N,N,N,Y,N,Y,Y,Y,N,Y,N,N,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,3/14/2014 10:44
1007070,Abington Farmers Market,12055 Rose Drove,Clarks Summit,Lackawanna,Pennsylvania,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
1019695,Abita Springs Art & Farmers Market ,22049 Main Street,Abita Springs ,St. Tammany,Louisiana,70420,Y,N,N,N,N,-,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,Y,9/16/2019 15:16
1004762,ABQ Uptown Growers' Market,NE parking lot of ABQ Uptown shopping center,Albququerque,Bernalillo,New Mexico,,Y,Y,N,Y,Y,-,Y,Y,Y,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,06/05/2014 14:51
1009543,ABV Farm Market,690 Allegheny Road,Mount Bethe,Northhampton,Pennsylvania,18343,Y,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
1002108,Acadia Farmers' Market in Town Hill,,Town Hill,Hancock,Maine,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
1007575,Acadiana Farmers Market,801 Foreman Drive,Opelousas,Lafayette,Louisiana,70570,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011
1005122,Ace Farmers Market,115 Black River Blvd,Rome,Oneida,New York,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011
1008461,Acme Ranch Truck Patch,RR1 Box 146,Birch Tree,Shannon,Missouri,65438,N,N,N,N,N,-,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,6/25/2013 15:20
1011180,Acreage Green Market,6701 140th Ave. North,Loxahatchee,Palm Beach,Florida,33470,Y,N,N,N,N,-,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,5/21/2015 2:02
1003469,Acton-Boxborough Farmers Market,1 Pearl St,Acton,Middlesex,Massachusetts,1720,N,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,N,5/24/2012 13:08
1018003,Acushnet Farmers Market,186 Leonard Street,Acushnet,Bristol,Massachusetts,2743,Y,Y,N,Y,Y,-,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,N,Y,N,N,5/18/2017 19:04
1007519,Acworth Farmers Market,Main and Lemon Streets,Acworth,Cobb,Georgia,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
1001393,Ada Farmer's Market,12th Street and Townsend,Ada,Pontotoc,Oklahoma,74820,N,N,N,N,N,-,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,04/02/2014 10:18
1001083,Ada Farmers' Market,7239 Thornapple River Dr.,Ada,Kent,Michigan,49301,Y,N,N,N,Y,-,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,Y,Y,N,N,3/19/2015 11:44
1006969,AdairCo Farmers Market,"409 Fairground Street, Adair County co-op ext service parking lot",Columbia,Adair County,Kentucky,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011
1010467,Adairsville Farmers' Market,7446 Ga 140,Adairsville,Bartow,Georgia,30103,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,08/07/2014 10:08
1019846,Adams County Farmer's Market,110 W. Main St.,West Union,Adams,Ohio,45693,Y,N,N,Y,Y,N,Y,N,N,Y,N,N,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N,4/23/2020 10:57
1019676,Adams County Farmers Market,103 Carlisle Street,Gettysburg,Adams,Pennsylvania,17325,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,Y,Y,N,Y,N,N,N,Y,N,N,08/08/2019 14:37
1019351,Adams County Farmers' Market Association,103 Carlisle Street,Gettysburg,Adams,Pennsylvania,17325,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,N,N,Y,Y,N,Y,N,N,Y,N,N,N,01/08/2019 17:15
1010354,Adams Farmers' & Artisans' Market,Adams Visitors Center  3 Hoosac St,Adams,Berkshire,Massachusetts,1220,N,Y,N,Y,N,Y,N,N,Y,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,07/08/2014 11:11
1018278,Adams Morgan Farmer Market,"18th Street and Columbia Rd, NW","Washington, DC",District of Columbia,District of Columbia,20009,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,Y,Y,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,Y,N,N,N,6/21/2017 9:33
1019847,Adams-Ricci Farmers Market,100 East Penn Drive,Enola,Cumberland,Pennsylvania,17025,Y,Y,N,Y,N,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,N,N,4/25/2020 10:26
1008961,Adaptations' Fresh Feast,"79-7500 Mamalahoa Highway, Unit 1",Kealakekua,Hawaii,Hawaii,96750,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,Y,N,N,Y,N,N,N,7/26/2018 16:11
1005109,Added Value Farm Stand at Governors Island,Gresham Rd,Brooklyn,Kings,New York,11231-1235,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011
1002464,Addison Farmers Market,One Friendship Plaza,Addison,DuPage,Illinois,60101,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
1005741,Adel Farmers Market,Courthouse Square,Adel,Dallas,Iowa,50830,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
1005272,Adelanto Stadium Farmers Market,Hwy 395 & Rancho Drive,Victorville,San Bernardino,California,92392,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
1012288,Adrian Farmers Market,115 Toledo Street,Adrian ,Lenawee,Michigan,49221,Y,Y,N,Y,Y,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,N,N,N,N,Y,N,N,Y,N,N,Y,07/06/2016 21:49
1011214,Aenon Baptist Church Farm Stand,175 Genesee Street,Rochester,Monroe,New York,14611,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,06/08/2015 09:24
1008667,Afton Village Farmers Market,5401 Village Dr,Concord,Cabarrus,North Carolina,28027,Y,Y,N,N,N,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,6/27/2013 13:53
1019203,AG Farmers' Market,108 Indian Head Road,Toms River,Ocean,New Jersey,8753,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,Y,Y,Y,N,Y,N,Y,N,Y,N,Y,N,N,08/01/2018 09:40
1007586,AGH Wellness Committee Farmer's Market,9733 Healthway Drive,Berlin,Worcester,Maryland,21811,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/23/2011 23:58
1012233,Agricenter International Farmer's Market,7777 Walnut Grove Rd,Memphis,Shelby,Tennessee,38120,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,N,N,Y,N,Y,N,Y,N,N,N,N,7/26/2018 16:07
1003562,Agritopia Farm Stand,3000 E. Ray Road (Higley & Ray),Gilbert,Maricopa,Arizona,85233,Y,N,N,N,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N,8/13/2015 0:14
1011830,Ahwatukee Farmers Market,4700 E. Warner Rd,Phoenix,Maricopa,Arizona,,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,N,N,N,3/25/2016 16:32
1000212,Aiken County Farmers Market,897 Richland Avenue East,Aiken,Aiken,South Carolina,29801,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,6/17/2013 16:01
